base_year,series,year,indicator,frequency,revision,industry,subindustry,institutional_sector,quarter,current_price,constant_price,unit
2011-12,Back,2011-12,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Crops,,,982151.1891356299,982151.0391356299,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Livestock,,,327333.71211591654,327333.71211591654,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Forestry and Logging,,,124435.75267007475,124435.75267007475,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Fishing and Aquaculture,,,68026.78803297665,68026.78803297665,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",,,,1501947.441954598,1501947.291954598,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,Mining and Quarrying,,,,261035,261035.36902221516,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,Manufacturing,"Food Products, Beverages and Tobacco",,,167524,167524.26127061233,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,Manufacturing,"Textiles, Apparel and Leather Products",,,153238,153237.52548529636,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,Manufacturing,Metal Products,,,229627,229627.3943983423,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,Manufacturing,Machinery and Equipment,,,334670,334669.51228540164,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,Manufacturing,Other Manufactured Goods,,,524927,524926.8775658148,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,Manufacturing,,,,1409986,1409985.5710054673,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Electricity, Gas, Water Supply & Other Utility Services",,,,186668,186668.30093039598,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,Construction,,,,777335,777334.4623841713,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Trade, Repair, Hotels and Restaurants",Trade & Repair Services,,,793681,793681.8284354993,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Trade, Repair, Hotels and Restaurants",Hotels & Restaurants,,,89901,89901.11349125468,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Trade, Repair, Hotels and Restaurants",,,,883582,883582.9419267541,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Railways,,,61150,61151,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Road Transport,,,262442,262441.24886906834,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Water Transport,,,6910,6910.93585220804,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,,,4393,4392.697539399289,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Services Incidental to Transport,,,63602,63601.8644785176,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Storage,,,5108,5107.318983587628,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Communication & Services Related to Broadcasting,,,125930,125929.81715913037,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",,,,529535,529534.8828819112,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,Financial Services,,,,480226,480225.89,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Real Estate, Ownership of Dwelling & Professional Services",,,,1050651,1050652.4513343426,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,Public Administration and Defence,,,,491155,491154.63998833444,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,Other Services,,,,534827,534826.4524048845,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,Total Gross Value Added,,,,8106948,8106948.203833075,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,,,,,8106948,8106948.203833075,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Crops,,,877255.6958720548,916216.1905474126,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Livestock,,,250867.35351981162,304474.8090369434,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Forestry and Logging,,,114504.64653836377,126279.37607244846,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Fishing and Aquaculture,,,57256.38508739664,64663.3551831545,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",,,,1299884.081017627,1411633.730839959,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,Mining and Quarrying,,,,251303.02973783252,316533.496603334,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,Manufacturing,"Food Products, Beverages and Tobacco",,,149766.03785309373,143177.92562196654,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,Manufacturing,"Textiles, Apparel and Leather Products",,,155790.74249244027,151320.6470598427,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,Manufacturing,Metal Products,,,217537.75542805422,232509.94789348464,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,Manufacturing,Machinery and Equipment,,,275570.3143099177,307612.39637786034,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,Manufacturing,Other Manufactured Goods,,,501480.7295899572,532637.0729356734,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,Manufacturing,,,,1300145.5796734632,1367257.9898888278,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Electricity, Gas, Water Supply & Other Utility Services",,,,161495.1620453248,171946.78734101582,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,Construction,,,,632753.7549170326,687071.4808021543,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Trade, Repair, Hotels and Restaurants",Trade & Repair Services,,,666811.2893436329,750536.262613048,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Trade, Repair, Hotels and Restaurants",Hotels & Restaurants,,,75399.90623738048,84433.42160355469,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Trade, Repair, Hotels and Restaurants",,,,742211.1955810133,834969.6842166027,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Railways,,,55464.23154561944,57021,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Road Transport,,,217871.9175747403,244325.48583988956,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Water Transport,,,6532.567522544742,7747.317714435302,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,,,4996.556432250136,3961.058749164286,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Services Incidental to Transport,,,49617.88834922351,56533.40662410902,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Storage,,,4287.748107687285,4716.105678796609,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Communication & Services Related to Broadcasting,,,110779.21816194966,119347.72635134347,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",,,,449550.1276940151,493652.10095773824,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,Financial Services,,,,427102.3246496635,464305.2761251068,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Real Estate, Ownership of Dwelling & Professional Services",,,,916683.4323513503,1000758.9872468801,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,Public Administration and Defence,,,,435760.6353672082,470838.87080170616,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,Other Services,,,,466781.33227077365,485545.80414221477,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,Total Gross Value Added,,,,7083670.6553053055,7704514.20896554,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,,,,,7083670.6553053055,7704514.20896554,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Crops,,,706037.0923755979,822186.2653728025,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Livestock,,,203990.7325428704,283776.61569988844,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Forestry and Logging,,,105627.55302587742,130323.74290066713,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Fishing and Aquaculture,,,50352.93265578116,61269.14040397036,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",,,,1066008.3106001269,1297555.7643773283,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,Mining and Quarrying,,,,193262.7272920563,278970.0498955693,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,Manufacturing,"Food Products, Beverages and Tobacco",,,122207.10376257109,160538.9313606042,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,Manufacturing,"Textiles, Apparel and Leather Products",,,124167.50741048034,141876.49322793566,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,Manufacturing,Metal Products,,,179828.40479139035,208608.58576863003,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,Manufacturing,Machinery and Equipment,,,239915.28286898576,282541.0277562494,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,Manufacturing,Other Manufactured Goods,,,425311.55123361014,475998.67260002124,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,Manufacturing,,,,1091429.8500670376,1269563.7107134406,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Electricity, Gas, Water Supply & Other Utility Services",,,,140906.2238525043,160528.59794762067,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,Construction,,,,555714.2687618387,647639.1443679368,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Trade, Repair, Hotels and Restaurants",Trade & Repair Services,,,542511.4385128572,650620.6009553918,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Trade, Repair, Hotels and Restaurants",Hotels & Restaurants,,,60781.99486367969,72424.79241728513,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Trade, Repair, Hotels and Restaurants",,,,603293.4333765369,723045.3933726769,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Railways,,,53681.1394991752,54151,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Road Transport,,,180463.3127936842,225445.77034737635,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Water Transport,,,5389.566788551897,7391.013739010888,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,,,3880.0347227147718,3386.486719626511,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Services Incidental to Transport,,,41078.379441694145,52707.00377130319,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Storage,,,3360.499303772297,4093.338229395546,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Communication & Services Related to Broadcasting,,,121795.99707259491,118627.47845819715,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",,,,409648.9296221874,465802.09126490966,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,Financial Services,,,,347818.7497140632,435088.98878796335,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Real Estate, Ownership of Dwelling & Professional Services",,,,784721.5181065318,964439.6510574395,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,Public Administration and Defence,,,,396919.7771389927,471451.1242269845,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,Other Services,,,,385182.1795790625,417751.98175897653,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,Total Gross Value Added,,,,5974905.9681109395,7131836.497770848,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,,,,,5974905.9681109395,7131836.497770848,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Crops,,,615489.3281443324,849406.9304098444,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Livestock,,,170689.88653774024,269776.6387953531,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Forestry and Logging,,,95647.20458857964,130713.28216651062,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Fishing and Aquaculture,,,44051.72926679917,59181.85584910636,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",,,,925878.1485374514,1309078.7072208144,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,Mining and Quarrying,,,,163961.65063856635,263136.7463226486,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,Manufacturing,"Food Products, Beverages and Tobacco",,,109359.25579488854,153623.547580005,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,Manufacturing,"Textiles, Apparel and Leather Products",,,99345.18950651656,124602.79178436358,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,Manufacturing,Metal Products,,,158149.6930582963,189641.06113143123,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,Manufacturing,Machinery and Equipment,,,194342.7104785315,238515.55129948875,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,Manufacturing,Other Manufactured Goods,,,381650.099490546,437701.78106555494,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,Manufacturing,,,,942846.9483287788,1144084.7328608437,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,"Electricity, Gas, Water Supply & Other Utility Services",,,,108535.90777666384,151538.9343171669,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,Construction,,,,501581.63977883314,606438.4498162473,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,"Trade, Repair, Hotels and Restaurants",Trade & Repair Services,,,480934.44253896334,628896.5302281665,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,"Trade, Repair, Hotels and Restaurants",Hotels & Restaurants,,,55860.27497171267,72630.8324614318,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,"Trade, Repair, Hotels and Restaurants",,,,536794.717510676,701527.3626895982,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Railways,,,46376.3789295211,49696,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Road Transport,,,164954.11767376255,208272.56976953693,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Water Transport,,,5282.255728237018,7423.327580006645,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,,,1421.0623115096853,2933.4170682885047,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Services Incidental to Transport,,,37147.24882456953,48423.13662848558,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Storage,,,2391.7685912907173,2982.762913850782,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Communication & Services Related to Broadcasting,,,109958.12328551974,98371.78004541947,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",,,,367530.9553444103,418102.9940055879,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,Financial Services,,,,315614.10890946584,405932.3886596656,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,"Real Estate, Ownership of Dwelling & Professional Services",,,,688776.2339412224,908597.409184307,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,Public Administration and Defence,,,,304702.48912106076,403443.5200439398,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,Other Services,,,,316615.21501081705,362333.93469954917,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,Total Gross Value Added,,,,5172838.014897946,6674215.179820369,₹ Crore
2011-12,Back,2008-09,Gross Value Added,Annual,,,,,,5172838.014897946,6674215.179820369,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Crops,,,553370.5493453521,871091.0531620283,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Livestock,,,143185.68959109645,250633.4695226746,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Forestry and Logging,,,85056.53536550402,133454.07646189636,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Fishing and Aquaculture,,,38918.98721033217,57104.628389510086,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",,,,820531.7615122847,1312283.2275361093,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,Mining and Quarrying,,,,149210.42111986392,269872.08219872194,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,Manufacturing,"Food Products, Beverages and Tobacco",,,89915.60365804436,148089.26487202034,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,Manufacturing,"Textiles, Apparel and Leather Products",,,83006.74793592712,110146.73827989068,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,Manufacturing,Metal Products,,,165688.6280083569,183518.58463631972,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,Manufacturing,Machinery and Equipment,,,167574.18559257098,207550.18038186917,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,Manufacturing,Other Manufactured Goods,,,319953.0178477072,443801.68299724,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,Manufacturing,,,,826138.1830426066,1093106.45116734,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,"Electricity, Gas, Water Supply & Other Utility Services",,,,105895.06768255026,144508.04276885523,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,Construction,,,,432601.5353861112,574450.8884297058,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,"Trade, Repair, Hotels and Restaurants",Trade & Repair Services,,,422836.3759639691,618540.4115051072,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,"Trade, Repair, Hotels and Restaurants",Hotels & Restaurants,,,52107.5157039026,75922.54042983586,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,"Trade, Repair, Hotels and Restaurants",,,,474943.8916678717,694462.9519349431,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Railways,,,42473.02728275274,46377,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Road Transport,,,148325.9676630599,196984.31723821934,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Water Transport,,,4461.198586559832,6962.603882978731,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,,,1756.399100302105,3149.6324695812996,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Services Incidental to Transport,,,33639.95878576694,46711.369189910394,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Storage,,,2225.695205910372,2967.6492477769225,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Communication & Services Related to Broadcasting,,,96567.27812332155,95411.06845769957,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",,,,329449.5247476734,398563.6404861663,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,Financial Services,,,,266110.3182540958,386281.789188856,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,"Real Estate, Ownership of Dwelling & Professional Services",,,,583600.6351607458,863401.8358351405,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,Public Administration and Defence,,,,236404.4383151278,339456.5742476356,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,Other Services,,,,265302.1269602445,321907.73813466245,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,Total Gross Value Added,,,,4490187.903849175,6398295.221928136,₹ Crore
2011-12,Back,2007-08,Gross Value Added,Annual,,,,,,4490187.903849175,6398295.221928136,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Crops,,,467941.9452934814,815267.6018606849,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Livestock,,,122596.32148768296,237725.61537943452,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Forestry and Logging,,,89471.84953617146,136274.75990394116,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Fishing and Aquaculture,,,35169.27904478902,54526.02432418357,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",,,,715179.3953621248,1243794.001468244,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,Mining and Quarrying,,,,128998.95889177712,257981.8617335481,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,Manufacturing,"Food Products, Beverages and Tobacco",,,93306.19414863162,143456.811887466,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,Manufacturing,"Textiles, Apparel and Leather Products",,,88728.02251655317,113475.21819834286,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,Manufacturing,Metal Products,,,131103.3704726932,175676.4894631424,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,Manufacturing,Machinery and Equipment,,,149047.62616058087,190104.16873897548,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,Manufacturing,Other Manufactured Goods,,,274021.03658477904,399067.4908317189,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,Manufacturing,,,,736206.2498832379,1021780.1791196457,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,"Electricity, Gas, Water Supply & Other Utility Services",,,,93254.41649118463,133351.001767056,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,Construction,,,,357379.6892609039,514180.8555975149,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,"Trade, Repair, Hotels and Restaurants",Trade & Repair Services,,,374306.16590490344,584720.2035082671,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,"Trade, Repair, Hotels and Restaurants",Hotels & Restaurants,,,44319.14652378173,68993.87901132162,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,"Trade, Repair, Hotels and Restaurants",,,,418625.31242868514,653714.0825195886,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Railways,,,36758.67837940968,42443,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Road Transport,,,136551.2556681275,181439.40590201647,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Water Transport,,,3999.2051414065686,6449.530686759877,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,,,1842.325607910288,2577.1913909092486,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Services Incidental to Transport,,,30114.417859775363,42178.180165241916,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Storage,,,1969.452929369817,2688.830301806635,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Communication & Services Related to Broadcasting,,,82651.87398729377,88278.4000569334,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",,,,293887.209573293,366054.5385036676,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,Financial Services,,,,228106.91292858144,351907.3787819688,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,"Real Estate, Ownership of Dwelling & Professional Services",,,,495889.90077399794,807555.2309421448,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,Public Administration and Defence,,,,207403.78309260262,315269.6648152113,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,Other Services,,,,229963.15318247266,292777.8376161738,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,Total Gross Value Added,,,,3904894.981868861,5958366.632864764,₹ Crore
2011-12,Back,2006-07,Gross Value Added,Annual,,,,,,3904894.981868861,5958366.632864764,₹ Crore
2011-12,Back,2005-06,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Crops,,,419038.8518331722,796925.601608833,₹ Crore
2011-12,Back,2005-06,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Livestock,,,112438.31485398041,223792.53529786677,₹ Crore
2011-12,Back,2005-06,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Forestry and Logging,,,76822.08361655497,137099.7365471921,₹ Crore
2011-12,Back,2005-06,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Fishing and Aquaculture,,,31688.631769826105,50467.10367095966,₹ Crore
2011-12,Back,2005-06,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",,,,639987.8820735336,1208284.9771248514,₹ Crore
2011-12,Back,2005-06,Gross Value Added,Annual,,Mining and Quarrying,,,,110532.8696460711,246421.61407356666,₹ Crore
